"GeneSymbol","Median","HL","LASSO","BestModel"
"METTL26",7311.43104578156,7273.29908929533,7211.85118237446,"LASSO"
"METTL3",6388.36133438843,6320.18352937572,NA,"HL"
"METTL7B",7020.79306955158,6671.29022844881,6677.66591780025,"HL"
"MFAP1",6421.2583595898,6417.24315405864,6472.07679809338,"HL"
"MFF",7396.501573764,7262.17934543997,7335.84719124871,"HL"
"MFGE8",9059.93527535681,8443.14610672172,8441.33911070016,"LASSO"
"MFSD10",6056.26386505029,5957.52768816513,6004.52850232949,"HL"
"MGAT1",5893.96303721671,5813.23914153931,5874.77584444916,"HL"
"MGME1",6902.88427268624,6854.59289880778,6929.51542424646,"HL"
"MGMT",6975.95082361552,6817.58772891101,6771.73339710727,"LASSO"
"MGST1",9080.98839211615,8870.8488014754,8867.32241756308,"LASSO"
"MGST3",7356.42215700551,7196.21830521312,7195.06905116525,"LASSO"
"MIA3",6771.16975773021,6628.3104039582,6729.36151767713,"HL"
"MICAL3",5663.21362621372,5393.37923039926,5459.4273190539,"HL"
"MICALL1",7053.06309554867,6789.97378611475,6829.1609440305,"HL"
"MICOS13",5452.75380771438,5455.33054437558,5567.17924371929,"Median"
"MID1",7104.07303056966,6981.67007997002,6941.87562503366,"LASSO"
"MIEN1",8317.17696241378,8074.11665859566,7466.80625729978,"LASSO"
"MIER1",6046.61691111461,5936.37384196733,5942.28463861137,"HL"
"MIF",10487.8824892737,10440.2048094634,10383.1955047676,"LASSO"
"MIIP",3388.41299949014,3362.66676919653,3367.79666791145,"HL"
"MINPP1",5186.84446720938,5068.01936042547,5109.65269107425,"HL"
"MIPEP",7595.25958517107,7478.01119997793,7547.88602342522,"HL"
"MIS18A",6652.84684616749,6566.00247061337,6587.55600206626,"HL"
"MISP",8486.84241685242,8351.09714320003,8347.80211725595,"LASSO"
"MKI67",7613.00667710604,7579.14297673492,7636.39046280481,"HL"
"MKRN2",6244.08044502362,6095.81215405755,6134.45748484556,"HL"
"MLEC",7466.71180304894,7219.96684622465,7319.13071705488,"HL"
"MLF2",6685.66763488147,6599.44026381106,NA,"HL"
"MLH1",6062.21062656388,6012.68716120017,6076.06952903601,"HL"
"MLPH",8369.63768051985,8206.44371389923,8201.73527301199,"LASSO"
"MMAB",7002.91587793214,6853.38367477081,6859.29447141485,"HL"
"MMGT1",6378.12614588936,6381.59675221058,6360.84522293359,"LASSO"
"MMP14",8125.62576977029,7909.05461628742,7887.83804498685,"LASSO"
"MMS19",7313.40669877901,7247.62058502198,7369.03025679445,"HL"
"MMS22L",5309.44380934657,5293.60366850228,NA,"HL"
"MMUT",6707.01971408791,6609.45454098955,6679.00041046293,"HL"
"MNAT1",5948.01988897779,5955.48647601288,6013.86689756532,"Median"
"MOB3A",5303.29951468897,5141.37264407905,5094.92473068976,"LASSO"
"MOB4",6296.88108359768,6263.41711464245,6314.22912944092,"HL"
"MOCS3",5437.59649469087,5251.79482325787,5257.37572816473,"HL"
"MOGS",7556.43788077122,7486.43262853742,7508.16210556816,"HL"
"MON2",6849.2716215562,6827.44804313133,6803.87456106849,"LASSO"
"MORF4L1",5857.44283518519,5811.33600767319,5962.46229626599,"HL"
"MOV10",7696.12940556456,7541.63695880676,7562.85219848224,"HL"
"MPC2",6887.78124915163,6857.65707048834,6810.28244337322,"LASSO"
"MPDU1",4522.46869775845,4461.70142512944,4456.54814946308,"LASSO"
"MPDZ",9222.61628951868,9073.89420038111,9056.43795437104,"LASSO"
"MPG",6549.02305481484,6432.37601371847,6418.64659306035,"LASSO"
"MPHOSPH10",6793.71402579736,6799.26535409148,7204.26819013749,"Median"
"MPRIP",7694.54689553395,7492.71450130784,7533.51597355434,"HL"
"MPST",8304.49175815893,8019.78049477137,8085.59745455644,"HL"
"MPZL1",6549.80946011048,6492.89984255385,6510.7377356744,"HL"
"MRC2",7485.11256326654,7274.03071072721,7218.97773420246,"LASSO"
"MRE11",8301.07141734509,8259.46489861381,8328.80684538533,"HL"
"MRFAP1",4559.03684297711,4560.21538680711,4549.0179114472,"LASSO"
"MRGBP",6368.03660510474,6352.9007920869,6381.50757135478,"HL"
"MRI1",7394.803467855,7247.57183593611,7313.97846797117,"HL"
"MRM1",6071.39866908396,5883.82646062715,5896.41792694642,"HL"
"MRPL1",6809.59057705176,6789.21048887925,6887.45712750548,"HL"
"MRPL10",6419.24828860938,6416.51067994487,6499.40571237751,"HL"
"MRPL11",6891.10337889254,6880.49929348915,7047.76976444321,"HL"
"MRPL12",8438.08565333632,8387.17096091395,8612.8736875269,"HL"
"MRPL13",6978.69577729532,6985.10328543758,7076.47559768769,"Median"
"MRPL14",6514.65265027419,6521.38589014389,6575.35808441754,"Median"
"MRPL15",7031.04214061478,7038.37925148638,7151.1304950591,"Median"
"MRPL16",6339.79350379042,6352.74619217603,6344.66907128142,"Median"
"MRPL17",6982.50137001887,6987.03840298547,7123.86739467203,"Median"
"MRPL18",6638.99323123159,6653.35720183263,6749.22408088917,"Median"
"MRPL19",7170.94584997359,7185.04678601128,7225.8152663121,"Median"
"MRPL2",6910.5107593897,6925.1470156388,6928.8906830173,"Median"
"MRPL20",6367.8659124409,6378.06096832332,6461.88278956958,"Median"
"MRPL21",6501.51268594872,6515.23509423583,6664.9273348556,"Median"
"MRPL22",6541.82330753799,6550.43829600759,6652.1134310566,"Median"
"MRPL23",6679.00129702501,6689.53600040413,6779.01674417334,"Median"
"MRPL24",7201.93523335715,7208.66381899589,7242.92242883014,"Median"
"MRPL27",6114.0258089932,6120.41956247403,6177.17778404572,"Median"
"MRPL28",5998.78895945762,6008.28191582026,6041.37120201105,"Median"
"MRPL33",5661.14526024154,5669.392063828,5675.12863612548,"Median"
"MRPL34",6078.26079043563,6091.20397982386,6092.37171411253,"Median"
"MRPL35",5904.84688765984,5912.12382001409,5934.23144950303,"Median"
"MRPL37",7315.68877525889,7331.63432217886,7369.77795998893,"Median"
"MRPL38",6891.3879348521,6893.7714347721,7008.62001644058,"Median"
"MRPL39",6138.22583603471,6150.4243567045,6358.97018235431,"Median"
"MRPL4",7256.8120985947,7271.77878130521,7302.47808393883,"Median"
"MRPL40",7024.41794317333,7026.11820251119,7159.29095368535,"Median"
"MRPL41",7112.1855814391,7116.96532671983,7250.29202657923,"Median"
"MRPL43",6800.2720470491,6805.30944357062,6872.52637993013,"Median"
"MRPL44",6862.83489348602,6876.19059555903,6920.70740283716,"Median"
"MRPL45",7096.28654556503,7092.10131217021,7174.19391780729,"HL"
"MRPL46",6951.59320265189,6933.26012295363,7037.92395037402,"HL"
"MRPL47",6516.73943341764,6529.44550138374,6546.82791125747,"Median"
"MRPL48",6592.22926691844,6605.21138617562,6685.79798380885,"Median"
"MRPL49",6769.55292713661,6774.71229846963,6758.33898335632,"LASSO"
"MRPL50",7417.57147297785,7412.41034480628,7530.73115136923,"HL"
"MRPL53",6672.0983224245,6672.00983723228,6704.71538035372,"HL"
"MRPL54",7427.87794624884,7424.28950477404,7439.98450703728,"HL"
"MRPL55",6795.82863199753,6806.86999129246,6808.72850206027,"Median"
"MRPL58",7773.51727963732,7783.4359250577,7921.14796185495,"Median"
"MRPL9",6284.02960319851,6292.35814264054,6406.20731885719,"Median"
"MRPS10",5770.56567316916,5787.16770791867,5892.69289156181,"Median"
"MRPS11",5282.53412436162,5288.88909985535,5290.11163447976,"Median"
"MRPS12",7071.83107972008,7053.16176055455,7124.45479117286,"HL"
"MRPS14",6433.15503952949,6450.66104647384,6452.79950217919,"Median"
